year0,orig,dest,sd_drop_neg,sd_rev_neg,mig_rate,da_min_open,da_min_closed,da_pb_closed
1990,WSM,BDI,0,0,0,0,0,0
1990,TKL,BDI,0,0,0,0,0,0
1990,TON,BDI,0,0,0,0,0,0
1990,TUV,BDI,0,0,0,0,0,0
1990,WLF,BDI,0,0,0,0,0,0
1990,BDI,COM,0,0,0,0.25,0,0.01
1990,COM,COM,0,0,0,0,0,0
1990,DJI,COM,0,0,0,0,0,0
1990,ERI,COM,0,0,0,0,0,3.22
1990,ETH,COM,0,0,0,0,0,0
1990,KEN,COM,0,0,37.2,5.03,162.14,157.43
1990,MDG,COM,0,937,4622.23,577.93,0,2054.46
1990,MWI,COM,0,0,0,0,0,0
1990,MUS,COM,0,0,0,0.01,0,0.01
1990,MYT,COM,0,0,0,0,0,1102.32
1990,MOZ,COM,0,0,0,0,0,0.01
1990,REU,COM,0,0,409.2,0,0,181.35
1990,RWA,COM,0,0,0,0,0,0.01
1990,SYC,COM,0,0,0,0,0,0.01
1990,SOM,COM,0,0,0,0,0,0
1990,UGA,COM,0,0,0,0.01,2.61,2.33
1990,TZA,COM,0,0,69.7,10.18,18.74,100.64
1990,ZMB,COM,0,0,0,0.03,0,0
1990,ZWE,COM,0,0,0,0,0,0
1990,AGO,COM,0,0,0,0,0,0
1990,CMR,COM,0,0,0,0,0,0.02
1990,CAF,COM,0,0,0,0,0,0.01
1990,TCD,COM,0,0,0,0,0,0
1990,COG,COM,0,0,0,0.2,0,0.01
1990,COD,COM,0,0,0,0,0,0
1990,GNQ,COM,0,0,0,0,0,0
1990,GAB,COM,0,0,0,0,0,0.01
1990,STP,COM,0,0,0,0,0,0
1990,DZA,COM,0,0,0,0.07,0,0
1990,EGY,COM,0,0,0,0,0,15.46
1990,LBY,COM,0,0,0,0.28,0,127.14
1990,MAR,COM,0,0,0,0.07,0,0.02
1990,SUD,COM,0,0,0,0,0,0
1990,TUN,COM,0,0,0,0,0,0
1990,ESH,COM,0,0,0,0,0,0
1990,BWA,COM,0,0,0,0,0,0.01
1990,SWZ,COM,0,0,0,0,0,0
1990,LSO,COM,0,0,0,0,0.06,0.05
1990,NAM,COM,0,0,0,0,0,0
1990,ZAF,COM,0,0,0,72.72,158.07,142.7
1990,BEN,COM,0,0,0,0,0,0
1990,BFA,COM,0,0,0,0,0,0
1990,CPV,COM,0,0,0,0,0,0
1990,CIV,COM,0,0,0,0,0,0
1990,GMB,COM,0,0,0,0,0,0
1990,GHA,COM,0,0,0,0,0,0
1990,GIN,COM,0,0,0,0,0,0.01
1990,GNB,COM,0,0,0,0,0,0
1990,LBR,COM,0,0,0,0,0,0
1990,MLI,COM,0,0,0,0,0,0.01
1990,MRT,COM,0,0,0,0,0,0
1990,NER,COM,0,0,0,0,0,0
1990,NGA,COM,0,0,0,0,0,0
1990,SHN,COM,0,0,0,0,0,0
1990,SEN,COM,0,0,0,0,0,0.03
1990,SLE,COM,0,0,0,0,0,0
1990,TGO,COM,0,0,0,0.02,0,0
1990,KAZ,COM,0,0,0,0,0,0
1990,KGZ,COM,0,0,0,0,0,0
1990,TJK,COM,0,0,0,0,0,0
1990,TKM,COM,0,0,0,0,0,0
1990,UZB,COM,0,0,0,0,0,0
1990,CHN,COM,0,0,0,0,0,0.03
1990,HKG,COM,0,0,0,0,0,0
1990,MAC,COM,0,0,0,0,0,0
1990,TWN,COM,0,0,0,0,0,0
1990,PRK,COM,0,0,0,0,0,0
1990,JPN,COM,0,0,0,0,0,0
1990,MNG,COM,0,0,0,0,0,0
1990,KOR,COM,0,0,0,0,0,0
1990,BRN,COM,0,0,0,0,0,0
1990,KHM,COM,0,0,0,0,0,0
1990,IDN,COM,0,0,0,0,0,0
1990,LAO,COM,0,0,0,0,0,0
1990,MYS,COM,0,0,0,0,0,0
1990,MMR,COM,0,0,0,0,0,0
1990,PHL,COM,0,0,0,0,0,0
1990,SGP,COM,0,0,0,0,0,0
1990,THA,COM,0,0,0,0,0,0
1990,TLS,COM,0,0,0,0,0,0
1990,VNM,COM,0,0,0,0,0,0
1990,AFG,COM,0,0,0,0,0,0
1990,BGD,COM,0,0,0,0,0,0
1990,BTN,COM,0,0,0,0,0,0
1990,IND,COM,0,0,0,0.51,0,0.01
